author,quote
Deepika Padukone,"I was born in Copenhagen, and when I was a year old, we moved to Bangalore. I was always a shy person and was happy with just a few friends and that came from my own social awkwardness. I did not know how to make conversations."
Magic Johnson,"My father is my idol, so I always did everything like him. He used to work two jobs and still come home happy every night."
Rebecca Ferguson,"Constantly having to think about money is not nice. People used to say, 'Being rich doesn't make you happy'. And I'd think, 'I've got no electricity, nothing - tell that to my empty fridge'."
Ira Gershwin,One can be very happy without demanding that others agree with them.
Greta Gerwig,"I'm not goal-oriented so much as I'm constantly aware of what I'm passionate about, and I'm constantly updating the list. I envision many possible futures for myself where I could be happy, so I just try to keep my passions alive."
Ralph Lauren,"I think I've been happy because I've been able to do what I believe in, and on my own terms."
Alec Berg,"My brother is an electrical engineer and went to computer science grad school at Stanford, and he'd tell me stories about the happy hours he'd organize."
Rik Mayall,Other people get moody in their forties and fifties - men get the male menopause. I missed the whole thing. I was just really happy.
Jeremy Renner,"What matters to me is learning and growing, and getting to do what I love to do. As long as I can do that, I'm happy."
Peter Singer,"I don't eat meat. I've been a vegetarian since 1971. I've gradually become increasingly vegan. I am largely vegan, but I'm a flexible vegan. I don't go to the supermarket and buy non-vegan stuff for myself. But when I'm traveling or going to other people's places, I will be quite happy to eat vegetarian rather than vegan."
Sean Murray,"My family means everything to me in the world. So as long as my family is taken care of, I'm a happy guy."
Vanessa Hudgens,You have a choice whether you want to be happy or not. I choose to be happy.
Miranda Hart,"I'm not a stereotypically beautiful woman, and I'm so happy that I'm not. I've seen those ladies - the need to be attractive at all times is ghastly. Also, in your twenties, if you are beautiful, everything comes to you, so you never need to develop a personality. I never had that problem."
Andra Day,I am happy that I can challenge myself in various fields.
George Bernard Shaw,The secret of being miserable is to have leisure to bother about whether you are happy or not. The cure for it is occupation.
Anne-Marie,My aim is to just make people feel good and happy.
Vetrimaaran,I wasn't happy the way I completed 'Asuran' or abandoned the film as it isn't complete. People are liking it and it's making money and I'm glad but I'm not happy with how I had to finish it.
Bryan White,Christmas makes me happy no matter what time of year it comes around.
Roy Ayers,"Having good health, being able to breathe and be happy, that's one of the most beautiful gifts. On top of that, I have the gift to play music and make people happy through that. I'm just telling you from my heart, I'm so in love with life."
Lauren Wasser,"Every time I turn on the TV, it infuriates me. You'll see an ad for Advil or Viagra and hear some monotonous voice warn you about even the smaller side effects like headaches or nausea. When you see a tampon commercial, it's all happy teenage girls running along the beach in bikinis. The dangers are beyond minimized."
Karen Salmansohn,"I'm a big believer that your life is basically a sum of all the choices you make. The better your choices, the better opportunity to lead a happy life."
Daniel Boone,I was happy in the midst of dangers and inconveniences.
Martha Beck,"If you'd rather live surrounded by pristine objects than by the traces of happy memories, stay focused on tangible things. Otherwise, stop fixating on stuff you can touch and start caring about stuff that touches you."
Kapil Sharma,I have received so much love from people. Why will I feel insecure? I am happy.
Vin Diesel,"You know when something feels so good but you're afraid to feel good about it? So you kinda hold back? Everyone says, Congratulations, you must be so happy. And you say something stupid like, I'm just doing what little I can with what little I have."
J. Donald Walters,"The secret of happiness is the determination to be happy always, rather than wait for outer circumstances to make one happy."
Marion Ross,"Happy Days was a wonderful, wonderful experience and I would not have traded it for the world."
Robertson Davies,A happy childhood has spoiled many a promising life.
B. J. Penn,"I live my life my way. I try to do the right thing, but I know there are going to be people who aren't happy with what I do or say no matter what, so I'm not going to worry about it."
Shari Arison,"I believe we all want the same thing - it doesn't matter who you are or where you're living. We all want to be healthy, happy, to live in peace and prosper. That's what I connect to."
Alan Arkin,"I don't sense that I am someone's hero, though I'm happy when people like my work. I've learned how to be gracious about it, but I try to let it go by. I've seen how, if people start taking on those accolades, it can ruin them completely."
Anne Frank,We all live with the objective of being happy; our lives are all different and yet the same.
Benjamin Franklin,Wine is constant proof that God loves us and loves to see us happy.
Haruki Murakami,"I collect records. And cats. I don't have any cats right now. But if I'm taking a walk and I see a cat, I'm happy."
Audrey Hepburn,"I believe in manicures. I believe in overdressing. I believe in primping at leisure and wearing lipstick. I believe in pink. I believe happy girls are the prettiest girls. I believe that tomorrow is another day, and... I believe in miracles."
Thich Nhat Hanh,"If we are peaceful, if we are happy, we can smile, and everyone in our family, our entire society, will benefit from our peace."
Akhenaton,"Those who gave thee a body, furnished it with weakness; but He who gave thee Soul, armed thee with resolution. Employ it, and thou art wise; be wise and thou art happy."
Prince,"When everyone recognizes Jehovah's name, then everyone will be happy because everyone will know what to do and how to do it."
Bruce Forsyth,Just doing any kind of work - even an interview for breakfast television - makes me feel happy.
Dalai Lama,"Even when we have physical hardships, we can be very happy."
Robert Louis Stevenson,"The world is full of a number of things, I'm sure we should all be as happy as kings."
Ileana D'Cruz,"I don't think I will ever understand Bollywood. And I'm happy about that because it is a big, crazy, world. It's too complicated and chaotic to understand."
Kurt Cobain,I like to make people feel happy and superior in their reaction towards my appearance.
Joyce Meyer,"If selfishness is the key to being miserable, then selflessness must be the key to being happy!"
Ai Weiwei,We see the tendency in the world to criticise democracy and sometimes even to say that authoritarian countries like China are more efficient. That is very short-sighted. China looks efficient only because it can sacrifice most people's rights. This is not something the west should be happy about.
Samuel Johnson,"Allow children to be happy in their own way, for what better way will they find?"
Princess Diana,When you are happy you can forgive a great deal.
David Rockefeller,I think I am basically a happy person.
Freddie Highmore,"When you're happy you don't always have to be laughing, and when you're sad you don't have to be crying; sometimes it's the opposite. You laugh when you're the most upset."
Jane Fonda,"As I started getting older, I realized, 'I'm so happy!' I didn't expect this! I wasn't happy when I was young."
John Ridley,"Oh, happy day when the enemies of ascendancy have got to confess that people of color rock."
Jonathan Agnew,It takes very little effort to make someone happy.
Andie MacDowell,I exercise every day. It's what makes me happy.
Tabu,I am never embarrassed to relax. I am not part of any rat race. I am very happy to be by myself.
Heidi Klum,I am generally a very happy and easygoing person.
Logic,Success doesn't make you happy.
Umberto Eco,"Musical compositions can be very sad - Chopin - but you have the pleasure of this sadness. The cheap consolation is: you will be happy. The higher consolation is the pleasure and recognition of your unhappiness, the pleasure of having recognised that fate, destiny and life are such as they are and so you reach a higher form of consciousness."
Winona Ryder,"Life's short, so if you're going to spend months doing something, it's gotta be pretty special... But I'm very happy to enter my Baby Jane years, and hopefully segue into the Ruth Gordon years."
Angelina Jolie,"I've realized that being happy is a choice. You never want to rub anybody the wrong way or not be fun to be around, but you have to be happy. When I get logical and I don't trust my instincts - Thats when I get in trouble."
Stephen Graham Jones,"Making people laugh is so much more difficult than making them sad. Too much fiction defaults to the somber, the tragic. This is because sad endings are easy in comparison - happy endings aren't at all simple to earn, especially when writing to an audience jaded by them."
Roberto Cavalli,"Today, I'm very happy about myself, because I realized my dreams. I learned how to understand what people want."
James Lafferty,My New Year's resolution is to stick to a good workout plan that will keep me healthy and happy.
Debbie Reynolds,"That's what I love about dance. It makes you happy, fully happy."
Christie Brinkley,"All I ever wanted was a big, happy family."
Colleen Ballinger,"I love music, and playing ukulele and singing makes me really happy."
Alicia Witt,"I was so happy that it filmed in New York not only because it's an amazing city, but also because a lot of people across the world somehow started to think about New York as a dangerous place to be and envisioned it as some war zone after that happened."
Albert Camus,It is a kind of spiritual snobbery that makes people think they can be happy without money.
Milo Yiannopoulos,"What's revolting is the body-positivity movement. What's revolting is this idea now that you can tell women they'll be happy and healthy at any size. Why? Because it tells women that you can be fat, and you can be unattractive, and you can be happy anyway. That's a lie."
Drew Barrymore,"I don't want to be stinky poo poo girl, I want to be happy flower child."
Metta World Peace,"I'm just happy that Jesus Christ, um, did not let me lose my teeth when I was 20 years old. 'Cause I was wondering, like, what if you kept your baby teeth until the age of 18 or 20, and then you lose 'em? That would look pretty bad."
Ashton Kutcher,"I'm happy wherever I go, whatever I do. I'm happy in Iowa, I'm happy here in California."
Francois de La Rochefoucauld,We are more interested in making others believe we are happy than in trying to be happy ourselves.
Manushi Chhillar,I think if you make others happy you are contented.
Dave Grohl,"When I joined Nirvana, I was the fifth or sixth drummer - I don't know if they'd ever had a drummer they were totally happy with. And they were strangers. There was never much of a deeper connection outside of the music."
Claes Bang,"I was super happy when I went to Cannes Film Festival - I got a full sponsorship from my favourite Danish brand, Mads Norgaard."
Mick Rock,My allegiance was always to the act. I wanted them to be happy. I wasn't owned by a magazine or a record label. And I was a very naughty boy to boot!
Jo Brand,"I never think, 'Where am I going to be in a year's time?' That seems to be a sure way of missing the fact that you might be quite happy now."
Priyanshu Chatterjee,"I chucked my CA final exams to pursue modeling. My parents objected to this, but they soon came around. And after seeing my maiden movie Tum Bin, they were happy beyond words!"
Gretchen Rubin,"Happiness is a critical factor for work, and work is a critical factor for happiness. In one of those life-isn't-fair results, it turns out that the happy outperform the less happy. Happy people work more hours each week - and they work more in their free time, too."
Maggie Smith,I tend to head for what's amusing because a lot of things aren't happy. But usually you can find a funny side to practically anything.
Brian Binnie,"If you are not happy when you're weightless, then something's wrong."
Eric Church,I am very thankful and blessed to have a healthy and happy baby boy and baby mama.
Mason Cooley,"A happy arrangement: many people prefer cats to other people, and many cats prefer people to other cats."
Demi Lovato,I get mad. I get sad. I have all those emotions. But I just like to keep them to myself. I don't think my fans need to be bothered with if I'm mad or sad about something. I should just be concerned that they are keeping up with my music or I'm making them happy with my show.
Chris Kattan,"I like light green, sometimes red is fun to look at, not a fan of yellow, unless it's in a rainbow or on a coffee mug or on a happy face."
Robert Baden-Powell,"Happiness is within the reach of everyone, rich or poor. Yet comparatively few people are happy. I believe the reason for this is that the majority don't recognize happiness even when it is within their grasp."
Virginia Postrel,Apple doesn't need to maximize book sales. It simply needs to keep publishers happy enough to maintain an impressive-sounding inventory of titles while waiting for entirely new forms of publishing to develop.
George Bernard Shaw,"Give a man health and a course to steer, and he'll never stop to trouble about whether he's happy or not."
Christine and the Queens,"Festivals are happy places, and you don't really want to enjoy them on your own."
Maggie Q,"We rarely grow when we're happy, we grow when we hurt."
John Cena,"What I do for Make-A-Wish is I make children and families that are up against some pretty tough circumstances, I let them come into our WWE universe, and I do my best to make them feel good. I've seen a lot of kids and a lot of families happy, and I think people are going to watch 'American Grit' and have emotional moments."
Julie Andrews,"And I think as long as a song has beautiful lyrics, I'm so happy."
Sabrina Carpenter,The number one priority in life is to take care of yourself and make sure you're happy.
Sanjay Dutt,I keep the bad-boy image just to make my fans happy.
Columbus Short,I can say with full sincerity that I am happy. I'm happy because I'm doing what I love and I'm not selling out.
Adam Driver,"Any actor is happy to be involved with something that's challenging, controversial, and not easily palatable. Things that are too dumbed down or easy to swallow are uninteresting... It's good when people have such a polarizing response."
Angelo Scola,"The destination is a happy life, an accomplished life that doesn't end with death but with eternal life."
Eddie Guerrero,I've got to be happy with myself when this ride is over.
Joe Calzaghe,"I don't seek the limelight. I'm perfectly happy with a quiet life and spending time with my family, but I deserve recognition."
Charles Farrar Browne,"Let us all be happy, and live within our means, even if we have to borrow the money to do it with."
Chico Hamilton,"And I'm happy to say that I'm able to find people wherever I go that are not black, not white - they're just human beings. That's where I am, where I've been and where I intend to stay."
Philip Glass,"I travel the world, and I'm happy to say that America is still the great melting pot - maybe a chunky stew rather than a melting pot at this point, but you know what I mean."
Doug Ford,I'd be more than happy to be thrown underneath the bus for my brother any day.
Millicent Simmonds,I'm happy being deaf. I'm happy with my life and my family.
Kristen Stewart,"Success is always something completely different to people. I feel like I've succeeded, if I'm doing something that makes me happy and I'm not lying to anybody."
Cynthia Erivo,"I discovered at the age of five that I could sing, and I realised people liked it. The sound that came out made people happy, so I kept doing it."
Taylor Swift,"As your career grows, the list of things that makes you happy should not become smaller, it should become bigger."
Willian,"I like to smile a lot and I always try to be happy, joking around and stuff."
Satoru Iwata,"Nintendo's mission is to try to make people happy, to try to make people smile."
Will Arnett,"When David Cross and I made 'Todd Margaret,' we spent time there. We were shocked and happy with the reaction that we got with fans over there. It was pretty awesome."
Ronnie Wood,It's an awful world out there. You've got to make people happy.
Anna Nicole Smith,I am just so happy and thrilled and I am so glad Mr. Hefner chose me.
Anthony Kiedis,"We've just learned how to balance ourselves a little better so that we're happier way more of the time than not, and, you know, being happy is a radical and desirable act if you ask me."
Ella Henderson,"As long as it's making you happy and you're enjoying it, then you should never stop writing music. Whether it's going to take you somewhere, viewed by other people, or it's literally you in a bedroom at home, it should be something that you do for yourself."
Nani,Everyone has a 'Majnu' in them. It's not about the sad or happy climax. It's a term we use to define someone who falls in love and faces problems.
Kiku Sharda,"My cameo appearance in 'Happy New Year' doesn't mean I am seriously considering a shift to cinema, not at all."
Kristin Kreuk,"When I was in elementary school, I used to write letters to myself. I'd write letters and go 'Dear Kristen-at-16-years-old, happy birthday. I hope you're doing something.'"
Taisen Deshimaru,"If you are not happy here and now, you never will be."
Alexis Bledel,"Give me a hot drink, and I'm happy. Hot cider, hot chocolate, coffee... I like all winter beverages!"
Paige VanZant,"I've always been a bubbly and energetic and happy person, but when I get upset, I get frustrated; when someone makes me mad, I definitely have a temper, and I've had to deal with having a temper my whole life."
Malaika Arora Khan,"For me, the spirit of Christmas means being happy and giving freely. It's a tradition for all the kids in the family to help mom decorate the tree. Christmas is all about family, eating, drinking and making merry."
Antonio Conte,"Our target is to win, not to try to make all the players happy."
Edward Burns,I suffer from Irish-Catholic guilt. Guilt is a good reality check. It keeps that 'do what makes you happy' thing in check.
Hill Harper,You deserve a great life. I want to see you become unreasonably happy. And you can. And you will.
Fumio Sasaki,Some of you may think that I'm a loser: an unmarried adult with not much money. The old me would have been way too embarrassed to admit all this. I was filled with useless pride. But I honestly don't care about things like that any . The reason is very simple: I'm perfectly happy just as I am.
Niecy Nash,"The soul of a woman is so important to maintain given all that is on our plates. Figuring out how to do it can be a little tricky. My prayer was, 'Lord, please help me. How can I do it all and not be overwhelmed? How can I do it all and still be happy?' His answer: Find the stolen moments of joy in all you do."
David Stern,"Everyone knows that if you can keep on making money, everyone's happy."
Lina Wertmuller,"I love life. I love my friends. I love to eat. Too many things, I love. I am very much an anti-historical character. I am attracted to happy people. Happy people with very grave problems."
Julian Casablancas,I'm happy to feed the illusion that I'm a lazy recluse.
Christian McCaffrey,"Earned success is the key to a positive, happy life."
Winnie Byanyima,"A good leader, in my view, should have a clear vision of the future they want and the society they need to build. They must also have a connection with the people who work for them and be able to mobilise their best energies to create teams where people can be most creative and happy."
Paul Giamatti,"Lead roles are fun, but I'm especially happy other, more colorful supporting stuff has come along."
Jennifer Winget,"Love means being happy, and it is that magical feeling which you get around people you love. Be it friends, family. It could mean different to different people, but to me, it is just being kind and happy with each other."
Harry Kane,"Money is a bonus of the job, but it doesn't always make you happy."
Jessica Lowndes,"I love pampering myself, so going for a massage or getting a mani-pedi makes me feel instantly better. When my nails are done I feel so much better - it's the little things that make me so happy, and you literally feel polished."
Sonu Sood,"Come to think of it, some of the most special films in my career were 'City Of Life' and 'Happy New Year.' For both these films, I stayed over a month in Dubai and just when I was thinking that I need one more film like that, that's when 'Kung Fu Yoga' happened."
Joyce Meyer,"Instead of being critical of people in authority over you and envious of their position, be happy you're not responsible for everything they have to do. Instead of piling on complaints, thank them for what they do. Overwhelm them with encouragement and appreciation!"
Jean-Marc Vallee,"I look back, and I've got a couple of films, and I'm happy."
M.I.A.,I don't think immigrants are that threatening to society at all. They're just happy they've survived some war somewhere.
Alberto Del Rio,I'm really happy with 'WWE '12.' It's amazing. The fact that I'm in a video game is incredible; it's a dream come true.
Mark Ruffalo,"What is happiness other than a negotiation between reality and your dreams? It's understanding that you give up something for something else. I feel like that's been how I've been trying to be happy, although in my DNA there's more of a depressed person."
Mauro Icardi,"The unhappy people are those who listen to others. I never listened to anyone, and I'm very happy."
Ryan Cabrera,Sometimes the most happy people in life are the ones with nothing. We can't lose sight of the little things in life that should make us the happiest.
Joey Chestnut,"There's no better feeling than knowing I'm going to break the guy next to me. His body will shut down, and I will keep eating. Then I will look out and see a crowd of happy people."
Marc-Andre ter Stegen,I loved scoring goals. I played to score goals. It's what made me happy.
Farah Khan,"A part of 'Happy New Year' is inspired by western pop culture, the pop music videos of Michael Jackson, Madonna and Duran Duran in the '80s."
Justin Bieber,I'm happy with the man I'm becoming.
P. V. Sindhu,I love making friends and make others happy. But I also love to be happy all the time. All that aggression that you see remains on the court only.
Claudia Winkleman,I'm not sure a pretty and stupid man might be the key to a happy relationship.
Robert J. Waldinger,"People who are more isolated than they want to be from others find that they are less happy, their health declines earlier in midlife, their brain functioning declines sooner, and they live shorter lives than people who are not lonely."
Jerome Boateng,"The Ballon d'Or is nice, but at the end of the day, I want to have success and play good, and if people recognise me, then I'm happy."
Taylor Kinney,"My mum wants me to get married - and have children, of course. She's met Gaga; we've been dating a while. We're in a committed relationship, and I'm really happy in my relationship. I'm a very lucky guy. As far as having more of a domestic life and settling down into my relationship, we have to see what happens."
Yanni,I am so happy that I didn't go to school and I didn't have anyone to tell me how to position my fingers on the piano correctly.
Tracy McMillan,"Is our desire for partnership just an evolutionary remainder, a Togetherness Delusion, where millions of women only think they need a relationship to be truly happy? Maybe. But you know what? That's fine with me."
Toni Collette,"People are so fearful about opening themselves up. All you want to do is to be able to connect with other people. When you connect with other people, you connect with something in yourself. It makes you feel happy. And yet it's so scary - it makes people feel vulnerable and unsafe."
Daron Malakian,"I'm not very happy. I'm frustrated with human beings. I'm the guy who just wants to smack people in the face and say, 'Wake up!'"
George Stephenson,"I am much obliged by the favourable sentiments you express towards me, and shall be happy if I can be of service in carrying into execution your plans."
Carlos Vela,When I'm happy good things happen.
Sonya Walger,"I felt very unstressed on my wedding day. I'm very grateful for that... spending the day on my own, being super quiet and happy and just puttering around doing my own thing."
Alfred Schnittke,"For almost thirty years I repeatedly saw one and the same dream: I would arrive in Vienna at long last. I would feel really happy, for I was returning to my serene childhood."
Juan Mata,"I am thrilled to be joining United. I have enjoyed some very happy years at Chelsea, but the time has come for a new challenge."
Roy Halladay,"I enjoy talking pitching and talking baseball. And I don't have all the answers. I don't claim to, but I'm more than happy to share my beliefs."
Rajkumar Hirani,"When your first movie releases, in my case it was 'Munnabhai MBBS,' I was just relieved that it was out there. Just that sheer thought makes you happy."
Daniel Gilbert,"I actually think the same things do make most people happy. The differences are extremely small, and around the margins. You like peach ice cream; I like strawberry ice cream. Both of us like ice cream much better than a smack on the head with two-by-four."
Satyajit Ray,"For a film maker, an Oscar is like a Nobel Prize, you know. So I am very happy... delighted. There is nothing more after this. I cannot hope to get anything more prestigious."
Ree Drummond,"I think over-seasoning it is something I tend to do. If it's a good steak, salt, pepper, and butter are the three key ingredients. But just try not to overcook it, and you'll be happy."
Naga Chaitanya,I am happy to be acting with my wife.
Paige Spiranac,"Whenever I'm stressed out or having a bad day, the one thing that gets me happy or back into like a good place of mind is being on the golf course. I love being out there, especially really early in the morning getting the first tee time out and just playing by myself. It's so peaceful."
Richard Corliss,"You know the fairy-tale drill, especially from the Disney versions: the heroines endure awful stuff in rites of passage that lead to a joyous resolution of, usually, marriage to a prince. 'Into the Woods' follows that template, then asks, 'What happens after Happy Ever After?'"
Lloyd Blankfein,"Mysterious can be cool, if you're in Hollywood and everyone's happy. But it can be really bad if people perceive that the financial interests are adversarial, that there's money versus people. A lot of Goldman Sachs people went into government, so at a time when there's a distrust of institutions, some of that reflects on us."
Trip Lee,"I think if you were to ask me when I was much younger what my definition of the good life was, I think it would have sounded a lot like what most people would say - a life with all the things you want and everything you think you need to make you happy, and these sorts of things."
Andrea Pirlo,"If I look in the mirror when I get up or before going to bed at night, I see a man of average ugliness with stubble, an unruly mane of hair, a squint nose, slightly protruding ears, and bags under my eyes. But I also see a man who's completely happy with the figure staring back at him."
Anna Torv,Some people just aren't meant to be happy.
Laura Wasser,"I'm not a divorce monger by any means, but if you're not happy in a relationship, and you've grown apart, it's not healthy for a couple to stay together. It's better for kids to see two happy parents than two miserable parents."
Dolores O'Riordan,"In 1997, we took time off, and that's when Oasis broke and Princess Diana died and I was home with my baby hating the music industry. People asked what I thought about the Spice Girls, and honestly, I was so happy to tell them I couldn't be bothered to care."
Hiroshi Amano,"For me, it's my great honour that many people use blue LEDs or LED lightings now. So, we can contribute to the energy savings for the humans, so I'm very, very happy to contribute to the energy saving issues."
Andrew Greeley,"I have to say that I have no regrets about my decision to become a priest or about the major directions my ministry has taken me... I have been and am happy as a priest, and I have never been lonely... I could have used a bit more solitude."
Juan Mata,I'm a person who doesn't think bad about other people or feel happy when other people don't get results.
Ryan Potter,"I haven't been in the film world long enough to really understand the gravity of 'Big Hero's' success. I'm just happy that it is translating well internationally and that the story and the characters are loved by audiences around the world, and everything that's come after that has been secondary to the initial response."
Saul Niguez,"Hard things make me happy. You get upset, but you mature and improve: the quicker you reach your best level, the longer you stay there. They say players peak at 28; I wanted to be there at 22, 23."
Rush Limbaugh,"There are many lessons people can learn about the left. One of the key lessons is they never give anything up. Once they begin a quest, they don't stop until they've got it. The other thing that you need to learn is, they're never happy even after they succeed. They are never happy because there can never be enough to satisfy them."
Indya Moore,I want more people to hear me and be part of the change that everyone would benefit from: the change we need so that people like me can be safe and happy.
John Starks,"Obviously dunking on Horace Grant and Michael, in those circumstances, is just an incredible thing to happen. I'm happy I was able to make that play, and I'm fortunate I was in that position where I could make that happen for my team."
AB de Villiers,"It's never been about my own runs. If I can score as many as possible to get us into a position to win, then I'll be a very happy man."
Logan Paul,"Creating content to make people smile and laugh, that's what makes me happy."
Tom Bodett,"I'm happy to report you still get nothing you don't need at Motel 6, and, therefore, you don't have to pay for it. I don't need valet parking. If I can drive the old crate 300 miles to the hotel all by myself, I can certainly handle the last nine feet to the parking space."
Rudy Boesch,"I was never destined to be a movie star, and I'm happy not being one."
John Oliver,"If I wanted to take a more activist or journalistic slant in work, I should probably just go be an activist or a journalist. But I'm happy being a comedian."
James Burrows,"My father was Abe Burrows, who was a Broadway legend. 'Guys and Dolls,' 'How to Succeed,' 'Cactus Flower,' '40 Karats,' 'Can-Can,' 'Happy Hunting,' 'Reclining Figure,' it goes on. He was a legend, and when I was growing up, I was Abe Burrows' kid. That was my self-esteem."
Lil Tracy,"I'm just happy to be his son. I don't know, I just feel lucky, really. I feel like I was given a power."
Lara Stone,I'm happy people look at me as a role model.
Jon Bellion,We're not as happy as our Instagrams and Twitters make us out to be.
Dan Castellaneta,Go ahead and play the blues if it'll make you happy.
Jubin Nautiyal,"When I started working on the sounds and music of 'Breaking the Rules,' I figured that I am really good at it so I was happy."
Shawn Spears,"All talent needs is credibility and the freedom to create. That is all. That's what will make the talent happy, that's what makes me happy to this day."
Carol Burnett,"I very much enjoyed doing 'Law & Order,' playing a killer - that was fun, and they had a family feel around the set, so it was a happy show to do even though the subject matter was quite the opposite."
Shaun Ryder,When the Happy Mondays started I was like the dad of the band.
Terry McAuliffe,"I invested in many companies, and I'm happy this one worked. This is capitalism. You invest in stock, it goes up, it goes down. You know, if you don't like capitalism, you don't like making money with stock, move to Cuba or China."
Ryan Paevey,"I think what I like best about, and what keeps me coming back to work in the Hallmark world is similar to what keeps viewers coming back... of all of the places to go to make believe in TV, there has to be one that's a safe space, a happy place."
Katy Perry,"I think people appreciate a songwriter who shows different sides. The whole angst thing is cool, but if that's all you've got, it's just boring. Everything I write, whether it's happy or sad, has a sense of humor to it."
Lilly Singh,"'Unicorn Island' is the synonym for my happy place. It's a really beautiful message: that happiness is one of the hardest things you'll ever fight for, but it's the only thing worth fighting for."
Jurgen Klopp,"Yes, it is one of my ultimate aims - it is the ultimate sense of football: to make the people happy, to let them live some emotions that you usually can't get."
Ellie Goulding,"I want to be safe in the knowledge that I can tour and play festivals for a long time. The main thing is that I want a good reputation as a live performer. If I have that, I'd be so happy."
Homer Hickam,"I want to make the conquest of the moon the United States' goal for the 21st century and, through that goal, to make us a great and good and happy country for generations to come."
Charles Oliveira,"Actually, 2016 wasn't a good year for me, as I didn't get any wins. But I started to feel things would get better when I found out about the pregnancy. I'm very happy, this is a new chapter of my life and I'm sure I'll win and dedicate it to my daughter and my family."
Kevin De Bruyne,"Money is important, but the most important thing for me is to play football, and then I'm happy. OK, you want to earn a good amount of money to be secure, but if I chose money, I would go to Russia and already have a lot more. I like to play football, and that is it."
Goldie Hawn,"I noted that people are happy here in India. When I went back home, people had everything in the materialistic sense and were surrounded with abundance, but they were not happy."
Alexander Downer,"Yes, I don't think I shall ever become Prime Minister. Hard as that is to swallow, I tell you one person who is very happy always to see me say that, and that's my wife."
Danny Ings,"As long as we're winning, I'm happy."
Ileana D'Cruz,"I don't think I constantly have to be on a promotional spree or be seen in the newspapers every day or even be part of social parties and film gangs. I'm having my own set of journey, and I am happy with it because I don't want to be like everybody."
Aida Turturro,"I think people should be proud of the work they do, whatever it is. I have this other arty side that loves creating homes. I can be happy going to the hardware store."
Vicky Krieps,"When I got pregnant, I knew I wasn't anywhere in my career, that I had not arrived. I was still on my adventure, and so I said to the child in my belly, 'I am so happy for you to come, but you should know I'm still on my way, and you'll have to come with me and be in my rucksack.'"
Grace Slick,"If you were to say to me that I couldn't paint, I would write. If I couldn't write, I would be a set designer. As long as I'm creating something, I'm happy."
Jane Seymour,Being creative is my idea of heaven. I'm just incredibly fortunate that I can do it in artwork. Watercolor is what I started out with. What I love about watercolor is that a lot of happy accidents occur.
Leila Janah,A lot of people are happy to give money to charities but are wary of giving through taxes because they feel it doesn't produce any value.
Kevin Federline,"I'm happy. I don't care what other people say or think. I'm happy. I'm blessed. I'm proud of my life, and that's it. That's all that matters."
Marie Osmond,"I am happy. I have a wonderful marriage. I was in a not-great second marriage for 20 years, then I fell in love with Steve, my first husband, again, and we remarried. I wore the dress from our first wedding in 1982 - it was tight, but I could get into it."
Syd Barrett,"A lot of people want to make films and do photography and things, but I'm quite happy doing what I'm doing."
Jordi Molla,My label is to play bad guys of Latin origin in American movies. I'm happy with that label. I prefer to play that than to play a city boy. The bad guy is always something very tempting for the audience.
Teri Garr,I have worked enough and I am happy to be touring the country speaking about living with MS to give people inspiration and motivation to help themselves.
Dolores O'Riordan,"I lived in buses. I didn't really have anything else. I didn't feel like a female, and I ended up really kind of isolated. Everybody thinks you're so happy and so wealthy and such a big star, but you're really kind of lonely and don't know how to stop it."
Chris Connelly,I've been drawn to sports stories that have an emotional component to it. I'm happy to get a chance to tell a few.
Becky Lynch,"My life changed completely. It's crazy now. It's kind of gone from striving and wondering and being confused and being lost to just feeling like the most blessed person in the world - just happy to wake up every day, happy to get on a plane every time. Just couldn't be happier with life, really."
Joseph Hume,"With an open trade in corn and a fixed duty we should have every man in the country fully fed and happy, instead of our present situation in which so much distress exists - distress of our own producing."
Nita Ambani,I like to have everything smiley and happy for my husband. Men don't want to see a grumpy face at the end of a hard day.
The Iron Sheik,"I do 'The Howard Stern,' make me happy. Also I sold out Comedy Store in the Los Angeles for my roast. This way everybody know I make the people laugh and happy. I love it."
